id,title,description,image_link,link,google_product_category,brand,price,currency,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition
"1131","Acumulator extern Remax RUJ, 2400 mAh, cablu micro usb inclus, power bank","Intrare: 5V 1.0A
	Iesire: 5V 1.0A
.","http://www.pluscomputer.ro/image/catalog/periferice/power bank remax ruj.png","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1131","Power Banks","Remax","49 RON","RON","in stock","1131","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1131","http://www.pluscomputer.ro/image/catalog/periferice/power bank remax ruj toate.png,http://www.pluscomputer.ro/image/catalog/periferice/power bank remax ruj ambalaj.png","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","45 RON","new"
"1487","Adaptor / Mufa de prelungire cablu HDMI,  Active, mama-mama, prelungitor hdmi, negru"," Un adaptor de calitate in ambalaj individualSuporta rezolutie HDTV de pana la 1080","http://www.pluscomputer.ro/image/catalog/cabluri/hdmi mama mama.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1487","HDMI","Active","15 RON","RON","in stock","1487","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1487","","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","13 RON","new"
"1697","Adaptor / Mufa de prelungire cablu retea cat6, UTP / FTP / RJ45, Active, mama-mama, prelungitor cabl","Perfect pentru a prelungi un cablu de retea cu mufa RJ45, UTP, FTP.Cat.6e.","http://www.pluscomputer.ro/image/catalog/retelistica/mufe/mufa cat6 prelungire alb.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1697","Cable / Connectors","Active","10 RON","RON","out of stock","1697","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1697","http://www.pluscomputer.ro/image/catalog/retelistica/mufe/mufa cat6 prelungire alb2.jpg,http://www.pluscomputer.ro/image/catalog/retelistica/mufe/mufa prelungire cat6.jpg","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","8 RON","new"
"1488","Adaptor / Mufa de prelungire cablu retea UTP / FTP / RJ45,  Active, mama-mama, prelungitor"," Perfect pentru a prelungi un cablu de retea cu mufa RJ45, UTP, FTP.","http://www.pluscomputer.ro/image/catalog/cabluri/mufa rj45 prelungitor.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1488","Cable / Connectors","Active","3 RON","RON","in stock","1488","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1488","http://www.pluscomputer.ro/image/catalog/retelistica/mufe/set 10 mufe prelungitoare retea.jpg","1970-01-30T00:00+00:00/1970-01-30T23:59+00:00","3 RON","new"
"1774","Adaptor / Mufa HDMI unghi 90 grade, ACTIVE, mama-tata, negru, contacte aurite, ambalaj individual","Mufa HDMI mama tata la unghi de 90 grade cu contacte auriteConformitate: HDCP, HDMI Authority, RoHSVersiunea HDMI: v1.4 si 100% compatibila cu HDMI v1.1, v1.2 si v1.3Rezolutie maxima suportata: 4096 x 2160p Ultra HD / Dual Stream 1080p 3DAmbalaj: Individual 1Buc.","http://www.pluscomputer.ro/image/catalog/cabluri/video/mufa hdmi 90grade tata mama0.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1774","HDMI","Active","15 RON","RON","in stock","1774","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1774","http://www.pluscomputer.ro/image/catalog/cabluri/video/mufa hdmi 90grade tata mama1.jpg","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","9 RON","new"
"5","Adaptor alimentare molex (ide)- 2 x SATA 15cm, multiplicator s-ata","ADAPTOR / Multiplicator ALIMENTARE  de la molex (ide) la 2 x sata","http://www.pluscomputer.ro/image/catalog/storeimages/2925499_1517776239333.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=5","Internal Cables","Active","10 RON","RON","in stock","5","http://www.pluscomputer.ro/index.php?route=product/product&product_id=5","http://www.pluscomputer.ro/image/","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","8 RON","new"
"3","Adaptor alimentare molex (ide)- SATA 15cm","ADAPTOR ALIMENTARE  de la molex (ide) la sata","http://www.pluscomputer.ro/image/catalog/storeimages/2925457_151777623936.png","http://www.pluscomputer.ro/index.php?route=product/product&product_id=3","Internal Cables","Active","7 RON","RON","in stock","3","http://www.pluscomputer.ro/index.php?route=product/product&product_id=3","http://www.pluscomputer.ro/image/","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","5 RON","new"
"7","Adaptor alimentare placa video pci-e 6 pini de la molex, cablu pcie 6pini","ADAPTOR ALIMENTARE  de la molex (ide) la la pci-e 6 pinLunhime: 15cm

.","http://www.pluscomputer.ro/image/catalog/storeimages/3099618_1517776239723.png","http://www.pluscomputer.ro/index.php?route=product/product&product_id=7","Internal Cables","DeTech","10 RON","RON","in stock","7","http://www.pluscomputer.ro/index.php?route=product/product&product_id=7","http://www.pluscomputer.ro/image/","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","8 RON","new"
"8","Adaptor alimentare placa video pci-e 6 pini de la s-ata, cablu sata la pci-e 6pini","ADAPTOR ALIMENTARE  de la sata la pci-e 6 pin","http://www.pluscomputer.ro/image/catalog/cabluri/cablu video 6 pin sata.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=8","Internal Cables","Active","15 RON","RON","in stock","8","http://www.pluscomputer.ro/index.php?route=product/product&product_id=8","http://www.pluscomputer.ro/image/","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","13 RON","new"
"1713","Adaptor alimentare placa video pci-e 6+2 pini de la 1 x s-ata, Active, 20cm, cablu data pcie 8pini","ADAPTOR ALIMENTARE  de la sata la pci-e 8 pin (6+2) mama, 20cm.","http://www.pluscomputer.ro/image/catalog/cabluri/pci-e/cablu pcie 8 pini de la sata.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1713","Internal Cables","Active","20 RON","RON","in stock","1713","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1713","","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","12 RON","new"
"1688","Adaptor alimentare s-ata - 2 x molex (ide) 20cm, Active, sursa sata tata la 2 x molex mama spliter","Adaptor ALIMENTARE de la s-ata tata la 2 x  molex mama cu lungime de 20cm.","http://www.pluscomputer.ro/image/catalog/cabluri/cablu sata 2 x molex ok.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1688","Internal Cables","Active","15 RON","RON","in stock","1688","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1688","http://www.pluscomputer.ro/image/","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","12 RON","new"
"4","Adaptor alimentare s-ata - molex (ide) 17cm, Active, sursa sata mama la molex tata","Adaptor ALIMENTARE de la s-ata mama la molex tata cu lungime de 17cm.","http://www.pluscomputer.ro/image/catalog/storeimages/3340290_1517776239594.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=4","Internal Cables","Active","9 RON","RON","in stock","4","http://www.pluscomputer.ro/index.php?route=product/product&product_id=4","http://www.pluscomputer.ro/image/","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","8 RON","new"
"1761","Adaptor audio Digital la Analog, Active, convertor SPDIF Toslink la RCA si Jack 3.5mm, alimentare 5v","Acest convertor audio digital la analog (din televizor spre sistem audio) este proiectat pentru comutarea audio sau audio profesionala. Converteste semnalul audio digital coaxial sau Toslink la RCA analogic L / R si jack audio de 3,5 stereo (nu si invers). Ofera transmisie electromagnetica fara zgomot.Acest convertor este de dimensiuni mici si destul de usor de instalat. Conectati la televizor cablul Toslink din pachet (numit si Digital SPDIF sau Cablu optic), apoi conectati la iesire sistemul de boxe audio (sau casti) pe mufa RCA sau jack stereo de 3,5 mm. Conectati cablul de alimentare USB inclus in pachet.ATENTIE: Acest convertor nu amplifica semnalul audio, daca doriti sa montati boxe mai mari la televizor, acestea trebuie sa fie active (cu amplificator/statie).Specificatii:Conector audio de intrare: Toslink, RCA coaxialConector audio de iesire: RCA (R / L), Jack 3,5 mm Culoare: neagraGreutate: 63gDimensiune (Lxlxi): 65x42x26Alimentare: 5V 0.5A (conectat prin cablu de alimentare USB)Rata de esantionare: 32KHz, 44.1KHz, 48KHz si 96KHzFluxul de biti de intrare: SPDIF de 24 de biti pe canalele din stanga si din dreaptaPachetul contine: Convertorul Toslink, Cablu audio digital Toslink, Cablu USB alimentare 5V, manual de utilizare in limba romana","http://www.pluscomputer.ro/image/catalog/cabluri/audio/adaptor toslink.jpg","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1761","Adapter Cables","Active","99 RON","RON","in stock","1761","http://www.pluscomputer.ro/index.php?route=product/product&product_id=1761","http://www.pluscomputer.ro/image/catalog/cabluri/audio/adaptor toslink 4.jpg,http://www.pluscomputer.ro/image/catalog/cabluri/audio/adaptor toslink 2.jpg,http://www.pluscomputer.ro/image/catalog/cabluri/audio/adaptor toslink 3.jpg","1970-01-30T00:00+00:00/2038-01-17T23:59+00:00","90 RON","new"
